|'diaqua(15-crown-5)iron(II) nitrate'|||Acta Crystallographica, Section B|2008 64(6) 738 749
C10 H24 Fe N2 O13
H32_6 ? ? 0.1389 0.3977 0.6703 1 0.021
C4_6 ? ? 0.2688(4) 0.4587(4) 0.67570(8) 1 0.0175(2)
H41_6 ? ? 0.3005 0.4008 0.6809 1 0.021
H42_6 ? ? 0.2799 0.4665 0.6618 1 0.021
C5_6 ? ? 0.4020(3) 0.5493(5) 0.68969(8) 1 0.0210(2)
H51_6 ? ? 0.4259 0.5563 0.6767 1 0.025
H52_6 ? ? 0.4309 0.4930 0.6963 1 0.025
C6_6 ? ? 0.4247(4) 0.6344(4) 0.70194(8) 1 0.0228(2)
H61_6 ? ? 0.4927 0.6427 0.7044 1 0.027
H62_6 ? ? 0.3976 0.6912 0.6952 1 0.027
C7_6 ? ? 0.3862(4) 0.7011(4) 0.73242(8) 1 0.0207(2)
H71_6 ? ? 0.3480 0.7515 0.7256 1 0.025
H72_6 ? ? 0.4504 0.7247 0.7355 1 0.025
C8_6 ? ? 0.3468(4) 0.6722(5) 0.75096(8) 1 0.0201(2)
H81_6 ? ? 0.3918 0.6329 0.7593 1 0.024
H82_6 ? ? 0.3318 0.7282 0.7586 1 0.024
C9_6 ? ? 0.1929(4) 0.6161(4) 0.75766(8) 1 0.0167(2)
H91_6 ? ? 0.1502 0.6701 0.7552 1 0.020
H92_6 ? ? 0.2198 0.6173 0.7716 1 0.020
C10_6 ? ? 0.1432(4) 0.5262(4) 0.75300(7) 1 0.0176(2)
H101_6 ? ? 0.1832 0.4722 0.7574 1 0.021
H102_6 ? ? 0.0862 0.5233 0.7597 1 0.021
O6_7 ? ? 0.3221(3) 0.4348(3) 0.85616(5) 1 0.02081(16)
H1W_7 ? ? 0.340(3) 0.388(2) 0.8506(5) 1 0.025
H2W_7 ? ? 0.354(2) 0.437(3) 0.8668(3) 1 0.025
O7_7 ? ? 0.1785(3) 0.6664(3) 0.83320(5) 1 0.02090(17)
H3W_7 ? ? 0.173(3) 0.7141(17) 0.8397(4) 1 0.025
H4W_7 ? ? 0.176(3) 0.685(2) 0.8218(2) 1 0.025
Fe7_7 ? ? 0.25256(8) 0.55358(9) 0.845308(14) 0.8775(19) 0.01219(7)
O1_7 ? ? 0.3754(2) 0.5873(2) 0.82880(5) 0.8775(19) 0.01543(15)
O2_7 ? ? 0.3355(2) 0.6627(3) 0.86243(5) 0.8775(19) 0.01650(15)
O3_7 ? ? 0.2011(2) 0.5590(3) 0.87509(4) 0.8775(19) 0.01685(16)
O4_7 ? ? 0.1205(2) 0.4716(3) 0.84280(5) 0.8775(19) 0.01722(15)
O5_7 ? ? 0.2296(2) 0.4913(3) 0.81580(5) 0.8775(19) 0.02154(16)
C1_7 ? ? 0.4205(4) 0.6728(4) 0.83555(8) 0.8775(19) 0.0203(2)
H11_7 ? ? 0.3839 0.7277 0.8303 0.8775(19) 0.024
H12_7 ? ? 0.4829 0.6765 0.8310 0.8775(19) 0.024
C2_7 ? ? 0.4283(3) 0.6723(4) 0.85739(7) 0.8775(19) 0.0205(2)
H21_7 ? ? 0.4673 0.6191 0.8627 0.8775(19) 0.025
H22_7 ? ? 0.4563 0.7317 0.8627 0.8775(19) 0.025
C3_7 ? ? 0.3276(3) 0.6572(4) 0.88332(7) 0.8775(19) 0.0178(2)
H31_7 ? ? 0.3513 0.7155 0.8900 0.8775(19) 0.021
H32_7 ? ? 0.3637 0.6032 0.8892 0.8775(19) 0.021
C4_7 ? ? 0.2261(4) 0.6446(4) 0.88538(7) 0.8775(19) 0.0175(2)
H41_7 ? ? 0.2156 0.6395 0.8994 0.8775(19) 0.021
H42_7 ? ? 0.1896 0.6982 0.8794 0.8775(19) 0.021
C5_7 ? ? 0.1047(3) 0.5376(4) 0.87415(8) 0.8775(19) 0.0210(2)
H51_7 ? ? 0.0671 0.5901 0.8680 0.8775(19) 0.025
H52_7 ? ? 0.0864 0.5267 0.8875 0.8775(19) 0.025
C6_7 ? ? 0.0901(4) 0.4481(4) 0.86157(7) 0.8775(19) 0.0228(2)
H61_7 ? ? 0.1271 0.3954 0.8678 0.8775(19) 0.027
H62_7 ? ? 0.0239 0.4297 0.8600 0.8775(19) 0.027
C7_7 ? ? 0.1257(4) 0.3908(4) 0.82999(7) 0.8775(19) 0.0207(2)
H71_7 ? ? 0.0644 0.3598 0.8277 0.8775(19) 0.025
H72_7 ? ? 0.1710 0.3446 0.8361 0.8775(19) 0.025
C8_7 ? ? 0.1554(4) 0.4254(4) 0.81105(7) 0.8775(19) 0.0201(2)
H81_7 ? ? 0.1770 0.3723 0.8034 0.8775(19) 0.024
H82_7 ? ? 0.1029 0.4565 0.8031 0.8775(19) 0.024
C9_7 ? ? 0.3042(4) 0.4912(4) 0.80387(7) 0.8775(19) 0.0167(2)
H91_7 ? ? 0.2805 0.4859 0.7898 0.8775(19) 0.020
H92_7 ? ? 0.3467 0.4379 0.8074 0.8775(19) 0.020
C10_7 ? ? 0.3534(4) 0.5832(4) 0.80787(7) 0.8775(19) 0.0176(2)
H101_7 ? ? 0.4105 0.5857 0.8012 0.8775(19) 0.021
H102_7 ? ? 0.3128 0.6363 0.8032 0.8775(19) 0.021
Fe10_10 ? ? 0.2474(4) 0.5575(4) 0.84215(7) 0.1225(19) 0.01219(7)
O1_10 ? ? 0.1299(5) 0.5194(7) 0.85834(12) 0.1225(19) 0.01543(15)
O2_10 ? ? 0.1631(6) 0.4554(6) 0.82486(11) 0.1225(19) 0.01650(15)
O3_10 ? ? 0.2986(6) 0.5506(7) 0.81417(9) 0.1225(19) 0.01685(16)
