dblname	tag	index	value	filename
2000000	_atom_site_fract_x	16	-0.2295(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	17	0.2321(3)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	18	-0.1002(3)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	19	0.4411(3)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	20	-0.3757(4)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	21	0.3274(5)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	22	-0.1363(7)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	23	0.1991(49)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	24	0.4008(33)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	25	0.2912(38)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	26	0.3530(57)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	27	0.0390(56)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	28	0.2211(42)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	29	0.1026(80)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	30	0.0848(80)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	31	0.3767(53)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	32	0.3767(53)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	33	0.3756(64)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	34	0.5401(51)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	35	0.5008(60)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	36	-0.4444(58)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	37	-0.3174(64)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	38	-0.4657(52)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	39	0.2961(67)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	40	0.2674(60)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	41	0.4668(10)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	42	-0.0448(44)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	43	-0.0895(55)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	44	-0.2612(32)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	45	-0.1104(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	46	-0.08652(1)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	47	-0.1692(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	48	0.0662(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	49	0.2041(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	50	-0.2321(3)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	51	-0.2765(3)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	52	-0.1692(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	53	-0.3817(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	54	0.1046(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	55	0.1406(3)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	56	-0.2875(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	57	-0.1131(3)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	58	-0.08652(1)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	59	-0.3266(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	60	0.1002(3)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	61	0.2295(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	62	-0.3274(5)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	63	-0.3266(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	64	0.1002(3)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	65	0.2295(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	66	-0.1991(49)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	67	-0.4008(33)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	68	-0.0390(56)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	69	-0.2211(42)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	70	-0.3817(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	71	-0.4411(3)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	72	0.1046(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	73	0.1363(7)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	74	0.1406(3)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	75	0.3757(4)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	76	-0.2961(67)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	77	-0.2674(60)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	78	-0.4668(10)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	79	-0.3756(64)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	80	-0.5401(51)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	81	-0.5008(60)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	82	0.0448(44)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	83	0.0895(55)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	84	0.2612(32)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	85	0.4444(58)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	86	0.3174(64)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	87	0.4657(52)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	0	0.91889(1)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	1	1.00000	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	2	1.1320(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	3	1.1607(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	4	0.9534(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	5	0.9169(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	6	1.1611(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	7	1.0779(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	8	0.8361(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	9	0.7728(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	10	0.8905(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	11	0.2934(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	12	0.6666(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	13	0.6002(3)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	14	0.5562(3)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	15	0.9366(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	16	0.7568(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	17	1.2062(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	18	1.1743(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	19	0.9424(4)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	20	0.6297(3)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	21	1.3442(3)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	22	1.3150(3)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	23	0.9233(52)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	24	0.9591(43)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	25	0.2807(64)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	26	0.2516(60)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	27	0.5809(32)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	28	0.6412(50)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	29	0.6802(33)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	30	0.6363(46)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	31	0.4899(43)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	32	0.6421(36)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	33	0.9536(52)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	34	0.8803(47)	tests/cif2tsv_010.inp
