dblname	tag	index	value
2000000	_atom_site_fract_y	65	3	1.2432(2)
2000000	_atom_site_fract_y	66	3	1.0767(52)
2000000	_atom_site_fract_y	67	3	1.0409(43)
2000000	_atom_site_fract_y	68	3	1.4191(32)
2000000	_atom_site_fract_y	69	3	1.3588(50)
2000000	_atom_site_fract_y	70	3	1.0831(2)
2000000	_atom_site_fract_y	71	3	1.0576(4)
2000000	_atom_site_fract_y	72	3	0.9221(2)
2000000	_atom_site_fract_y	73	3	0.6850(3)
2000000	_atom_site_fract_y	74	3	1.2272(2)
2000000	_atom_site_fract_y	75	3	1.3703(3)
2000000	_atom_site_fract_y	76	3	0.6425(61)
2000000	_atom_site_fract_y	77	3	0.5865(49)
2000000	_atom_site_fract_y	78	3	0.6302(53)
2000000	_atom_site_fract_y	79	3	1.0464(52)
2000000	_atom_site_fract_y	80	3	1.1197(47)
2000000	_atom_site_fract_y	81	3	0.9540(25)
2000000	_atom_site_fract_y	82	3	0.6468(52)
2000000	_atom_site_fract_y	83	3	0.6350(55)
2000000	_atom_site_fract_y	84	3	0.6601(59)
2000000	_atom_site_fract_y	85	3	1.3882(57)
2000000	_atom_site_fract_y	86	3	1.4601(37)
2000000	_atom_site_fract_y	87	3	1.3566(56)
2000000	_atom_site_fract_z	0	3	0.33204(1)
2000000	_atom_site_fract_z	1	3	0.00000
2000000	_atom_site_fract_z	2	3	0.5666(2)
2000000	_atom_site_fract_z	3	3	0.4591(2)
2000000	_atom_site_fract_z	4	3	0.1531(1)
2000000	_atom_site_fract_z	5	3	0.2987(2)
2000000	_atom_site_fract_z	6	3	0.1408(2)
2000000	_atom_site_fract_z	7	3	0.2862(2)
2000000	_atom_site_fract_z	8	3	-0.0437(2)
2000000	_atom_site_fract_z	9	3	0.1286(2)
2000000	_atom_site_fract_z	10	3	0.5313(2)
2000000	_atom_site_fract_z	11	3	0.3264(2)
2000000	_atom_site_fract_z	12	3	0.2612(3)
2000000	_atom_site_fract_z	13	3	0.9368(3)
2000000	_atom_site_fract_z	14	3	0.4230(3)
2000000	_atom_site_fract_z	15	3	0.1939(2)
2000000	_atom_site_fract_z	16	3	0.0125(2)
2000000	_atom_site_fract_z	17	3	0.5599(2)
2000000	_atom_site_fract_z	18	3	0.2435(2)
2000000	_atom_site_fract_z	19	3	0.1169(3)
2000000	_atom_site_fract_z	20	3	-0.0662(3)
2000000	_atom_site_fract_z	21	3	0.6732(3)
2000000	_atom_site_fract_z	22	3	0.3215(4)
2000000	_atom_site_fract_z	23	3	0.5730(49)
2000000	_atom_site_fract_z	24	3	0.5848(46)
2000000	_atom_site_fract_z	25	3	0.2454(35)
2000000	_atom_site_fract_z	26	3	0.3812(44)
2000000	_atom_site_fract_z	27	3	0.1806(36)
2000000	_atom_site_fract_z	28	3	0.3093(47)
2000000	_atom_site_fract_z	29	3	0.9088(47)
2000000	_atom_site_fract_z	30	3	1.0277(25)
2000000	_atom_site_fract_z	31	3	0.3897(51)
2000000	_atom_site_fract_z	32	3	0.5032(39)
2000000	_atom_site_fract_z	33	3	0.0251(27)
2000000	_atom_site_fract_z	34	3	0.1042(48)
2000000	_atom_site_fract_z	35	3	0.1971(33)
2000000	_atom_site_fract_z	36	3	-0.0056(45)
2000000	_atom_site_fract_z	37	3	-0.1033(46)
2000000	_atom_site_fract_z	38	3	-0.1497(31)
2000000	_atom_site_fract_z	39	3	0.7610(32)
2000000	_atom_site_fract_z	40	3	0.6298(53)
2000000	_atom_site_fract_z	41	3	0.7010(51)
2000000	_atom_site_fract_z	42	3	0.2858(44)
2000000	_atom_site_fract_z	43	3	0.4296(5)
2000000	_atom_site_fract_z	44	3	0.2816(46)
2000000	_atom_site_fract_z	45	3	0.4334(2)
2000000	_atom_site_fract_z	46	3	0.66796(1)
2000000	_atom_site_fract_z	47	3	-0.1531(1)
2000000	_atom_site_fract_z	48	3	-0.1408(2)
2000000	_atom_site_fract_z	49	3	0.0437(2)
2000000	_atom_site_fract_z	50	3	0.4401(2)
2000000	_atom_site_fract_z	51	3	0.5409(2)
2000000	_atom_site_fract_z	52	3	0.8469(1)
2000000	_atom_site_fract_z	53	3	0.7013(2)
2000000	_atom_site_fract_z	54	3	0.7138(2)
2000000	_atom_site_fract_z	55	3	0.8714(2)
2000000	_atom_site_fract_z	56	3	0.4687(2)
2000000	_atom_site_fract_z	57	3	0.7388(3)
2000000	_atom_site_fract_z	58	3	-0.33204(1)
2000000	_atom_site_fract_z	59	3	-0.1939(2)
2000000	_atom_site_fract_z	60	3	-0.2435(2)
2000000	_atom_site_fract_z	61	3	-0.0125(2)
2000000	_atom_site_fract_z	62	3	0.3268(3)
2000000	_atom_site_fract_z	63	3	0.8061(2)
2000000	_atom_site_fract_z	64	3	0.7565(2)
2000000	_atom_site_fract_z	65	3	0.9875(2)
2000000	_atom_site_fract_z	66	3	0.4270(49)
2000000	_atom_site_fract_z	67	3	0.4152(46)
2000000	_atom_site_fract_z	68	3	0.8194(36)
2000000	_atom_site_fract_z	69	3	0.6907(47)
2000000	_atom_site_fract_z	70	3	-0.2987(2)
2000000	_atom_site_fract_z	71	3	-0.1169(3)
2000000	_atom_site_fract_z	72	3	-0.2862(2)
2000000	_atom_site_fract_z	73	3	-0.3215(4)
2000000	_atom_site_fract_z	74	3	-0.1286(2)
2000000	_atom_site_fract_z	75	3	0.0662(3)
2000000	_atom_site_fract_z	76	3	0.2390(32)
2000000	_atom_site_fract_z	77	3	0.3702(53)
2000000	_atom_site_fract_z	78	3	0.2990(51)
2000000	_atom_site_fract_z	79	3	-0.0251(27)
2000000	_atom_site_fract_z	80	3	-0.1042(48)
2000000	_atom_site_fract_z	81	3	-0.1971(33)
2000000	_atom_site_fract_z	82	3	-0.2858(44)
2000000	_atom_site_fract_z	83	3	-0.4296(5)
2000000	_atom_site_fract_z	84	3	-0.2816(46)
2000000	_atom_site_fract_z	85	3	0.0056(45)
2000000	_atom_site_fract_z	86	3	0.1033(46)
2000000	_atom_site_fract_z	87	3	0.1497(31)
2000000	_cod_database_code	0	-1	2000000
