"Generators of the (3+1)-Dimensional Superspace Groups",,,,,,
"Harold T. Stokes, Branton J. Campbell, Dorian M. Hatch",,,,,,
"November 2006",,,,,,
" ",,,,,,
"Group Symbol","Equivalent","Generator 1","Generator 2","Generator 3","Generator 4",
"26.7 P2_1am(00g)",,"x1+1/2,-x2,-x3,-x4","x1+1/2,-x2,x3,x4","x1,x2,-x3,-x4"," "," "
"26.8 P2_1am(00g)0s0",,"x1+1/2,-x2,-x3,-x4","x1+1/2,-x2,x3,x4+1/2","x1,x2,-x3,-x4+1/2"," "," "
"26.9 P2_1ma(00g)",,"x1+1/2,-x2,-x3,-x4","x1,-x2,x3,x4","x1+1/2,x2,-x3,-x4"," "," "
"26.10 P2_1ma(00g)0s0",,"x1+1/2,-x2,-x3,-x4","x1,-x2,x3,x4+1/2","x1+1/2,x2,-x3,-x4+1/2"," "," "
"26.11 P2_1am(01/2g)","0s0","x1+1/2,-x2,-x3,-x4","x1+1/2,-x2,x3,-x2+x4","x1,x2,-x3,x2-x4"," "," "
"26.12 P2_1ma(01/2g)","0s0","x1+1/2,-x2,-x3,-x4","x1,-x2,x3,-x2+x4","x1+1/2,x2,-x3,x2-x4"," "," "
"27.1 Pcc2(00g)","ss0","-x1,x2,x3+1/2,x4","x1,-x2,x3+1/2,x4","-x1,-x2,x3,x4"," "," "
"27.2 Pcc2(00g)s0s","0ss","-x1,x2,x3+1/2,x4+1/2","x1,-x2,x3+1/2,x4","-x1,-x2,x3,x4+1/2"," "," "
"27.3 Pcc2(01/2g)","0ss,s0s,ss0","-x1,x2,x3+1/2,x4","x1,-x2,x3+1/2,-x2+x4","-x1,-x2,x3,-x2+x4"," "," "
"27.4 Pcc2(1/21/2g)","0ss,s0s,ss0","-x1,x2,x3+1/2,-x1+x4","x1,-x2,x3+1/2,-x2+x4","-x1,-x2,x3,-x1-x2+x4"," "," "
"27.5 P2aa(00g)",,"x1,-x2,-x3,-x4","x1+1/2,-x2,x3,x4","x1+1/2,x2,-x3,-x4"," "," "
"27.6 P2aa(00g)0s0",,"x1,-x2,-x3,-x4","x1+1/2,-x2,x3,x4+1/2","x1+1/2,x2,-x3,-x4+1/2"," "," "
"27.7 P2aa(01/2g)","0s0","x1,-x2,-x3,-x4","x1+1/2,-x2,x3,-x2+x4","x1+1/2,x2,-x3,x2-x4"," "," "
"28.1 Pma2(00g)",,"-x1+1/2,x2,x3,x4","x1+1/2,-x2,x3,x4","-x1,-x2,x3,x4"," "," "
"28.2 Pma2(00g)s0s",,"-x1+1/2,x2,x3,x4+1/2","x1+1/2,-x2,x3,x4","-x1,-x2,x3,x4+1/2"," "," "
