../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006441.cif: NOTE, _chemical_melting_point value '372--373' changed to '372.5(5)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006444.cif: NOTE, _diffrn_ambient_temperature value '203 K' changed to '203' - value should be numeric, i.e.'FLOAT or 'INT' without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006444.cif: NOTE, _chemical_melting_point value '230-231\%C' changed to '503.6(5)' - converted between degrees Celsius(C) and Kelvins(K), took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006449.cif: NOTE, _chemical_melting_point value '399-402' changed to '400.5(15)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006458.cif: NOTE, _chemical_melting_point value '244--246\%C' changed to '518.1(10)' - converted between degrees Celsius(C) and Kelvins(K), took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006460.cif: NOTE, _cell_measurement_temperature value 'Room Temperature' changed to '295(2)' - took room/ambient temperature average value [293;298] in Kelvins(K).
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006460.cif: NOTE, _diffrn_ambient_temperature value '295 (K)' changed to '295' - value should be numeric, i.e.'FLOAT or 'INT' without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006460.cif: WARNING, _chemical_melting_point value is 'Approximately 1223 K', it should be numeric, i.e.'FLOAT or 'INT', permitted range [0.0;+inf], given in Kelvins(K) without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006464.cif: NOTE, '_chemical_melting_point' tag changed to '_chemical_temperature_decomposition' since the value is given as '449 decomp.'.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006465.cif: NOTE, _chemical_melting_point value '215\%' changed to '488.15' - converted between degrees Celsius(C) and Kelvins(K), value should be numeric, permitted range [0.0;+inf] given in Kelvins(K) without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006472.cif: NOTE, '_chemical_melting_point' tag changed to '_chemical_temperature_decomposition' since the value is given as '423 - 428, decomposed'. Temperature value changed to '426(3)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006503.cif: NOTE, _chemical_melting_point value 'n/d' changed to '?' - value is undefined or not given.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006504.cif: NOTE, _chemical_melting_point value 'n/d' changed to '?' - value is undefined or not given.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006506.cif: NOTE, _chemical_melting_point value '401-402 K' changed to '401.5(5)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006507.cif: WARNING, _chemical_melting_point value is 'decomposition > 90_C', it should be numeric, i.e.'FLOAT or 'INT', permitted range [0.0;+inf], given in Kelvins(K) without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006519.cif: NOTE, _chemical_melting_point value '104-105\%C' changed to '377.6(5)' - converted between degrees Celsius(C) and Kelvins(K), took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006543.cif: NOTE, _chemical_melting_point value '160\%C' changed to '433.15' - converted between degrees Celsius(C) and Kelvins(K), value should be numeric, permitted range [0.0;+inf] given in Kelvins(K) without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006547.cif: NOTE, _chemical_melting_point value '178-179\%C' changed to '451.6(5)' - converted between degrees Celsius(C) and Kelvins(K), took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006577.cif: NOTE, _chemical_melting_point value '247C' changed to '520.15' - converted between degrees Celsius(C) and Kelvins(K), value should be numeric, permitted range [0.0;+inf] given in Kelvins(K) without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006585.cif: NOTE, _chemical_melting_point value '387 K' changed to '387' - value should be numeric, i.e.'FLOAT or 'INT' without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006605.cif: NOTE, _chemical_melting_point value '378(2) K' changed to '378(2)' - value should be numeric, i.e.'FLOAT or 'INT' without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006609.cif: NOTE, _chemical_melting_point value '62.0(5)\%_C.' changed to '335(5)' - converted between degrees Celsius(C) and Kelvins(K), value should be numeric, permitted range [0.0;+inf] given in Kelvins(K) without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006617.cif: NOTE, _chemical_melting_point value '135--136' changed to '135.5(5)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006624.cif: NOTE, _chemical_melting_point value '70.8--72.0 \%C' changed to '344.5(6)' - converted between degrees Celsius(C) and Kelvins(K), took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006625.cif: NOTE, '_chemical_melting_point' tag changed to '_chemical_temperature_decomposition' since the value is given as '280 \%C (dec.)'. Value changed to '553.15' - converted between degrees Celsius(C) and Kelvins(K).
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006627.cif: NOTE, _chemical_melting_point value '243-248\%C' changed to '519(3)' - converted between degrees Celsius(C) and Kelvins(K), took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006628.cif: NOTE, _chemical_melting_point value '463-465' changed to '464.0(10)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006629.cif: NOTE, _chemical_melting_point value '422-423' changed to '422.5(5)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006644.cif: NOTE, _chemical_melting_point value '160-162 \%C' changed to '434.1(10)' - converted between degrees Celsius(C) and Kelvins(K), took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006654.cif: NOTE, _chemical_melting_point value '446-447K' changed to '446.5(5)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006660.cif: NOTE, _chemical_melting_point value '166.7-166.9' changed to '166.80(10)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006669.cif: NOTE, _chemical_melting_point value '436K' changed to '436' - value should be numeric, i.e.'FLOAT or 'INT' without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006691.cif: NOTE, _chemical_melting_point value '416K' changed to '416' - value should be numeric, i.e.'FLOAT or 'INT' without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006695.cif: NOTE, _chemical_melting_point value '100\%C' changed to '373.15' - converted between degrees Celsius(C) and Kelvins(K), value should be numeric, permitted range [0.0;+inf] given in Kelvins(K) without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006696.cif: WARNING, _chemical_melting_point value is '145-147\%C (decomp.)', it should be numeric, i.e.'FLOAT or 'INT', permitted range [0.0;+inf], given in Kelvins(K) without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006697.cif: NOTE, _chemical_melting_point value '80-82\%C' changed to '354.1(10)' - converted between degrees Celsius(C) and Kelvins(K), took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006704.cif: NOTE, _chemical_melting_point value '404K' changed to '404' - value should be numeric, i.e.'FLOAT or 'INT' without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006716.cif: NOTE, _chemical_melting_point value '389 K' changed to '389' - value should be numeric, i.e.'FLOAT or 'INT' without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006727.cif: NOTE, _chemical_melting_point value '300 K' changed to '300' - value should be numeric, i.e.'FLOAT or 'INT' without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006728.cif: NOTE, _chemical_melting_point value '306\%C' changed to '579.15' - converted between degrees Celsius(C) and Kelvins(K), value should be numeric, permitted range [0.0;+inf] given in Kelvins(K) without temperature units.
